,Timestamp_x,plant_id,Trimmer,grams,Simple_Date,Unnamed: 5,Timestamp_y,Name,Flower Time
0,2018-05-09 00:12:04.163,A02,TPain,43.0,2018-05-09 00:00:00,,2018-05-08 21:25:59.327,Ancient Whisper,Est 56
1,2018-05-09 00:24:46.277,A02,Smit,46.5,2018-05-09 00:00:00,,2018-05-08 21:25:59.327,Ancient Whisper,Est 56
2,2018-05-09 01:21:56.323,A02,Smit,32.5,2018-05-09 00:00:00,,2018-05-08 21:25:59.327,Ancient Whisper,Est 56
3,2018-05-09 18:11:14.537,A02,Smit,65.5,2018-05-09 00:00:00,,2018-05-08 21:25:59.327,Ancient Whisper,Est 56
4,2018-05-09 18:11:26.638,A02,Smit,26.0,2018-05-09 00:00:00,,2018-05-08 21:25:59.327,Ancient Whisper,Est 56
5,2018-05-09 18:11:39.061,A02,TPain,96.0,2018-05-09 00:00:00,,2018-05-08 21:25:59.327,Ancient Whisper,Est 56
6,2018-05-11 16:49:42.734,A01,TPain,48.0,2018-05-11 00:00:00,,2018-05-08 21:25:27.000,Lemon Pie,Est 56 days
7,2018-05-11 16:49:56.959,A01,Smit,39.5,2018-05-11 00:00:00,,2018-05-08 21:25:27.000,Lemon Pie,Est 56 days
8,2018-05-17 22:33:25.938,B04,House,118.0,2018-05-17 00:00:00,,2018-05-17 15:28:27.689,Blackberry Kush,
9,2018-05-17 22:34:06.786,B02,House,105.0,2018-05-17 00:00:00,,2018-05-17 13:50:50.668,GMO,
10,2018-05-17 23:57:14.198,B02,TPain,105.0,2018-05-17 00:00:00,,2018-05-17 13:50:50.668,GMO,
11,2018-05-19 20:54:19.005,B02,TPain,81.0,2018-05-19 00:00:00,,2018-05-17 13:50:50.668,GMO,
12,2018-05-21 22:49:26.194,B02,Smit,112.0,2018-05-21 00:00:00,,2018-05-17 13:50:50.668,GMO,
13,2018-05-18 00:29:14.455,B01,Smit,172.0,2018-05-17 00:00:00,,2018-05-17 12:57:41.339,Meat the Cookies,
14,2018-05-18 10:51:41.759,B06,TPain,69.0,2018-05-17 00:00:00,,2018-05-18 00:48:43.277,Lemon Puff,
15,2018-05-18 13:26:11.833,B06,Smit,84.0,2018-05-18 00:00:00,,2018-05-18 00:48:43.277,Lemon Puff,
16,2018-05-18 13:26:27.231,B06,TPain,73.0,2018-05-18 00:00:00,,2018-05-18 00:48:43.277,Lemon Puff,
17,2018-05-18 19:10:13.418,C01,TPain,125.0,2018-05-18 00:00:00,,2018-05-18 20:42:51.698,Watermelon ZDP #3,
18,2018-05-18 19:20:23.000,C02,Smit,116.5,2018-05-18 00:00:00,,2018-05-18 13:27:00.487,Filet Migon,
19,2018-05-18 22:23:48.941,C03,Smit,43.5,2018-05-18 00:00:00,,2018-05-18 20:44:22.478,616 / GG4 ?,
20,2018-05-18 22:24:02.891,C03,TPain,45.0,2018-05-18 00:00:00,,2018-05-18 20:44:22.478,616 / GG4 ?,
21,2018-05-19 20:54:37.742,C03,Smit,81.5,2018-05-19 00:00:00,,2018-05-18 20:44:22.478,616 / GG4 ?,
22,2018-05-19 15:37:34.822,B03,Smit,82.5,2018-05-19 00:00:00,,2018-05-17 14:12:14.094,Watermelon ZDP #1,
23,2018-05-19 15:38:33.202,B03,TPain,52.4,2018-05-19 00:00:00,,2018-05-17 14:12:14.094,Watermelon ZDP #1,
24,2018-05-28 21:28:58.200,B03,Smit,51.5,2018-05-27 00:00:00,,2018-05-17 14:12:14.094,Watermelon ZDP #1,
25,2018-05-19 20:54:03.188,B05,TPain,50.0,2018-05-19 00:00:00,,2018-05-17 22:43:58.170,Wizard Breath,
26,2018-05-20 01:47:44.911,D01,Smit,57.5,2018-05-19 00:00:00,,2018-05-20 18:17:07.055,Ancient Whisper,
27,2018-05-20 01:47:59.564,D01,TPain,53.0,2018-05-19 00:00:00,,2018-05-20 18:17:07.055,Ancient Whisper,
28,2018-05-20 13:54:09.945,D01,Smit,50.5,2018-05-20 00:00:00,,2018-05-20 18:17:07.055,Ancient Whisper,
29,2018-05-20 13:54:27.252,E01,TPain,18.0,2018-05-20 00:00:00,,2018-05-20 13:53:23.287,NYCD,
30,2018-05-20 13:54:42.477,E01,Smit,12.5,2018-05-20 00:00:00,,2018-05-20 13:53:23.287,NYCD,
