,Timestamp_x,plant_id,Trimmer,grams,SImple Date,Timestamp_y,Name,Flower Time,Pot Size (gal),Notes:
0,2018-09-19 12:44:28.917,A1,Smit,244.0,2018-09-19 00:00:00,2018-09-18 22:38:54.392,Lemon Pie (1),42,15,Taken down 9/4. Trim started 9/14
1,2018-09-19 12:45:18.915,A1,House,41.0,2018-09-19 00:00:00,2018-09-18 22:38:54.392,Lemon Pie (1),42,15,Taken down 9/4. Trim started 9/14
2,2018-09-19 12:45:49.061,A1,Smit,6.5,2018-09-19 00:00:00,2018-09-18 22:38:54.392,Lemon Pie (1),42,15,Taken down 9/4. Trim started 9/14
3,2018-09-19 17:38:20.435,A1,Smit,59.2,2018-09-19 00:00:00,2018-09-18 22:38:54.392,Lemon Pie (1),42,15,Taken down 9/4. Trim started 9/14
4,2018-09-20 21:05:28.697,B2,Smit,340.0,2018-09-20 00:00:00,2018-09-19 00:12:01.046,Lemon Puff,50,15,9/11 or 12
5,2018-09-24 15:25:22.952,B1,Smit,339.0,2018-09-24 00:00:00,2018-09-18 23:35:31.406,Blackberry Kush,49,15,Down 9/10 - 9/11?
6,2018-09-28 10:42:26.822,C5,Smit,270.6,2018-09-28 00:00:00,2018-09-18 23:34:43.551,Gorilla Butter,56,15,9/18
7,2018-10-01 13:49:35.069,C5,Brie,50.3,2018-10-01 00:00:00,2018-09-18 23:34:43.551,Gorilla Butter,56,15,9/18
8,2018-10-01 13:49:53.541,C5,House,38.5,2018-10-01 00:00:00,2018-09-18 23:34:43.551,Gorilla Butter,56,15,9/18
9,2018-10-01 13:50:11.388,C5,Smit,24.4,2018-10-01 00:00:00,2018-09-18 23:34:43.551,Gorilla Butter,56,15,9/18
10,2018-09-28 10:43:41.842,C8,Smit,128.8,2018-09-28 00:00:00,2018-09-18 23:33:20.484,Filet mignon,56,15,Down 9/18
11,2018-10-01 13:47:03.480,C8,Brie,155.6,2018-10-01 00:00:00,2018-09-18 23:33:20.484,Filet mignon,56,15,Down 9/18
12,2018-10-01 13:46:47.615,C4,Brie,223.5,2018-10-01 00:00:00,2018-10-01 13:45:27.403,GMO,56,15,Taken same day as c5-9
13,2018-10-01 13:47:20.075,C4,House,68.3,2018-10-01 00:00:00,2018-10-01 13:45:27.403,GMO,56,15,Taken same day as c5-9
14,2018-10-01 13:47:38.591,C4,Hunter,11.3,2018-10-01 00:00:00,2018-10-01 13:45:27.403,GMO,56,15,Taken same day as c5-9
15,2018-10-01 13:47:57.279,C4,JJ,24.3,2018-10-01 00:00:00,2018-10-01 13:45:27.403,GMO,56,15,Taken same day as c5-9
16,2018-10-01 13:50:28.972,C4,Smit,33.5,2018-10-01 00:00:00,2018-10-01 13:45:27.403,GMO,56,15,Taken same day as c5-9
17,2018-10-01 13:50:43.764,C4,House,75.5,2018-10-01 00:00:00,2018-10-01 13:45:27.403,GMO,56,15,Taken same day as c5-9
18,2018-10-01 13:48:16.222,C7,Brie,224.0,2018-10-01 00:00:00,2018-09-18 23:33:41.784,Lemon Puff,56,15,9/18
19,2018-10-01 13:48:37.463,C7,House,203.6,2018-10-01 00:00:00,2018-09-18 23:33:41.784,Lemon Puff,56,15,9/18
20,2018-10-01 13:48:56.079,C9,Brie,89.9,2018-10-01 00:00:00,2018-09-18 23:32:51.180,Meat the cookies,56,15,Down 9/18
21,2018-10-01 13:49:12.836,C9,House,166.0,2018-10-01 00:00:00,2018-09-18 23:32:51.180,Meat the cookies,56,15,Down 9/18
22,2018-10-01 23:27:32.397,C9,House,17.0,2018-10-01 00:00:00,2018-09-18 23:32:51.180,Meat the cookies,56,15,Down 9/18
23,2018-10-02 11:15:34.901,C9,House,17.0,2018-10-02 00:00:00,2018-09-18 23:32:51.180,Meat the cookies,56,15,Down 9/18
24,2018-10-04 15:23:20.697,C6,Brie,17.7,2018-10-04 00:00:00,2018-09-18 23:34:07.514,Afgan Kush,56,15,9/18
25,2018-10-04 15:23:38.832,C6,Smit,108.5,2018-10-04 00:00:00,2018-09-18 23:34:07.514,Afgan Kush,56,15,9/18
26,2018-10-04 15:23:57.662,C6,House,50.2,2018-10-04 00:00:00,2018-09-18 23:34:07.514,Afgan Kush,56,15,9/18
27,2018-10-04 15:24:19.248,D3,Campo,49.2,2018-10-04 00:00:00,2018-10-04 15:21:28.334,Meat Breath,56,15,
28,2018-10-04 15:24:36.192,D3,House,94.0,2018-10-04 00:00:00,2018-10-04 15:21:28.334,Meat Breath,56,15,
29,2018-10-04 15:24:56.574,D3,Brie,78.6,2018-10-04 00:00:00,2018-10-04 15:21:28.334,Meat Breath,56,15,
30,2018-10-04 15:25:15.840,D3,Smit,68.3,2018-10-04 00:00:00,2018-10-04 15:21:28.334,Meat Breath,56,15,
31,2018-10-05 22:09:22.590,D3,Brie,42.0,2018-10-05 00:00:00,2018-10-04 15:21:28.334,Meat Breath,56,15,
32,2018-10-05 22:09:42.953,D3,Smit,35.0,2018-10-05 00:00:00,2018-10-04 15:21:28.334,Meat Breath,56,15,
33,2018-10-05 22:10:00.652,D3,House,21.3,2018-10-05 00:00:00,2018-10-04 15:21:28.334,Meat Breath,56,15,
