time,plant_id,Trimmer,grams,Timestamp_y,Name,Flower Time,Pot Size (gal),Notes:
2018-01-17 16:22:23.942,A001,Smit,46.2,2018-01-14 21:30:19.244,Tang Breath,45,10.0,"Herming, pulled early"
2018-01-17 16:36:43.408,A001,TPain,52.0,2018-01-14 21:30:19.244,Tang Breath,45,10.0,"Herming, pulled early"
2018-01-27 13:47:56.998,B01,Smit,28.5,2018-01-17 23:50:29.884,Super Secret Weapon,48,10.0,"Small plant (R), herming"
2018-01-30 14:33:11.959,B01,Smit,28.0,2018-01-17 23:50:29.884,Super Secret Weapon,48,10.0,"Small plant (R), herming"
2018-01-30 14:34:22.142,B01,Smit,28.0,2018-01-17 23:50:29.884,Super Secret Weapon,48,10.0,"Small plant (R), herming"
2018-01-30 14:35:59.711,B01,Smit,3.5,2018-01-17 23:50:29.884,Super Secret Weapon,48,10.0,"Small plant (R), herming"
2018-01-30 15:37:13.395,B01,Smit,50.6,2018-01-17 23:50:29.884,Super Secret Weapon,48,10.0,"Small plant (R), herming"
2018-01-30 15:39:03.342,B01,TPain,32.4,2018-01-17 23:50:29.884,Super Secret Weapon,48,10.0,"Small plant (R), herming"
2018-01-30 19:57:49.392,C01,TPain,58.0,2018-01-23 21:16:55.810,Electric Lemon G,53,7.0,"Pulled early, nasty aphids."
2018-01-30 19:59:20.479,C01,Smit,30.2,2018-01-23 21:16:55.810,Electric Lemon G,53,7.0,"Pulled early, nasty aphids."
2018-01-30 20:00:53.744,C01,Smit,26.1,2018-01-23 21:16:55.810,Electric Lemon G,53,7.0,"Pulled early, nasty aphids."
2018-01-30 20:03:28.198,C01,Smit,30.1,2018-01-23 21:16:55.810,Electric Lemon G,53,7.0,"Pulled early, nasty aphids."
2018-01-30 20:04:16.910,C01,Smit,7.1,2018-01-23 21:16:55.810,Electric Lemon G,53,7.0,"Pulled early, nasty aphids."
2018-01-30 20:05:23.604,C01,Smit,20.6,2018-01-23 21:16:55.810,Electric Lemon G,53,7.0,"Pulled early, nasty aphids."
2018-01-30 20:07:21.416,C01,TPain,16.2,2018-01-23 21:16:55.810,Electric Lemon G,53,7.0,"Pulled early, nasty aphids."
2018-02-01 12:05:53.548,D04,TPain,34.0,2018-01-24 22:30:19.200,Tang Breath,55,7.0,
2018-02-01 12:06:43.870,D04,Smit,25.0,2018-01-24 22:30:19.200,Tang Breath,55,7.0,
2018-02-01 13:01:59.722,D06,TPain,37.0,2018-01-24 22:35:35.393,Butter Face,55,3.0,
2018-02-01 13:11:03.934,D05,Smit,39.0,2018-01-24 22:34:50.694,Butter Face,55,3.0,
2018-02-01 14:58:52.906,D18,TPain,65.8,2018-01-25 00:01:47.004,Abazaba,55,10.0,
2018-02-01 15:27:32.010,D18,Smit,60.0,2018-01-25 00:01:47.004,Abazaba,55,10.0,
